complaint_id,received_at,channel,reporter_type,region,category,product_id,product_name,severity,priority_score,mdr_reportable_flag,summary,event_date,lot_or_serial,patient_involved,patient_outcome,device_returned,units_affected,missing_info,suggested_next_action,route_team,confidence,needs_human_review,review_reason
C-1017,2026-06-10T10:41,Distributor Portal,Distributor,EU-DACH,Shipping/Logistics,UNKNOWN,Unidentified / Not stated,Medium,50,No,Pallet arrived with torn shrink wrap and two crushed cartons; distributor withholding release pending instruction.,Not stated,Not stated,No,Not applicable,No,2 cartons,product_identity;lot_numbers;photographs;carrier_reference,Inspect crushed cartons against damage criteria and confirm release or return.,Supply Chain,0.83,TRUE,Product could not be identified
C-1018,2026-06-10T15:29,Distributor Portal,Distributor,EU-Nordics,Quality/Sterility,DEV-1003,PenMate Insulin Pen,High,79,No,Four pens show cap-to-barrel gap with broken tamper rings; needle assembly sterility cannot be assured.,Not stated,LOT-PM-9008,No,Not applicable,No,4 units,event_date;photographs;total_lot_quantity;storage_conditions,Quarantine lot and open sterile barrier investigation with assembly review.,Product Quality Engineering,0.88,TRUE,Sterility assurance compromised
C-1019,2026-06-11T09:18,Web Form,Patient,US-Northeast,Device Malfunction,DEV-1007,NebuMist Nebulizer,Medium,52,No,Compressor noticeably louder with treatment time increased from eight to fifteen minutes; therapy still effective.,Not stated,SN-NM-118207,Yes,No harm reported,Not stated,1 unit,event_date;filter_replacement_history;nebuliser_cup_condition,Send replacement filter set and request unit return if performance persists.,Product Quality Engineering,0.85,FALSE,
C-1020,2026-06-11T13:55,Email,Patient,US-West,Privacy Incident,UNKNOWN,Unidentified / Not stated,High,80,No,Delivery contained another patient's name address and prescription details; recipient has not opened the product.,Not stated,Not stated,No,Not applicable,No,1 package,product_identity;affected_patient_identity;fulfilment_batch_reference,Notify Privacy Office within 24 hours and retrieve the misdirected paperwork.,Privacy Office,0.92,TRUE,Personal data disclosed to third party
C-1021,2026-06-12T08:02,Phone,Clinician,US-Midwest,Device Malfunction,DEV-1002,GlucoTrack G5 Blood Glucose Meter,High,86,Possible,Meters reading 30 to 40 points below laboratory reference; two patients advised to eat on false low readings.,Not stated,LOT-GT-5518,Yes,No harm; two patients acted on false low readings,Not stated,4 units,event_date;meter_serials;test_strip_lot;control_solution_results,Recall the four clinic units for accuracy testing and check strip lot performance.,Product Quality Engineering,0.9,TRUE,Measurement error with dosing consequence
C-1022,2026-06-12T17:33,Web Form,Patient,US-South,Device Malfunction,DEV-1006,CardioCuff BP Monitor,Low,26,No,Cuff strap frayed along the edge after approximately three weeks of daily use; still functional.,Not stated,SN-CC-990412,Yes,No harm reported,Not stated,1 unit,event_date;cleaning_method;replacement_cuff_required,Send replacement cuff and log wear pattern for materials review.,Product Quality Engineering,0.84,FALSE,
C-1023,2026-06-15T09:40,Email,Clinic Admin,US-Northeast,Billing/Order,UNKNOWN,Unidentified / Not stated,Low,20,No,Invoice price of 61 does not match quoted unit price of 42 on order 55820; customer withholding payment.,Not stated,Not stated,No,Not applicable,Not applicable,Not applicable,product_identity;quotation_reference;contracted_price_list,Reconcile quotation against contract pricing and reissue corrected invoice.,Customer Service,0.89,TRUE,Product could not be identified
C-1024,2026-06-15T14:26,Distributor Portal,Distributor,APAC-ANZ,Packaging/Labeling,RX-2001,Cardiozan 40mg Tablets,High,86,Possible,Carton states 40mg while blister foil is printed 20mg across the whole lot; 240 packs withheld from pharmacy.,Not stated,LOT-CZ-4420,No,Not applicable,No,240 packs,event_date;artwork_and_print_records;other_affected_lots,Escalate to Regulatory Affairs for field action assessment and block the lot.,Regulatory Affairs,0.94,TRUE,Wrong-strength labelling with dosing risk
C-1025,2026-06-16T06:48,Phone,Clinician,US-West,Device Malfunction,DEV-1001,InfuLine 300 Infusion Pump,Critical,97,Yes,Suspected free-flow bolus on set removal; neonate became fluid overloaded and required transfer to higher level care.,Not stated,LOT-IL300-2318,Yes,Fluid overload; transferred to higher level of care,Yes,1 unit,event_date;pump_serial_number;set_lot;infusate_and_volume;patient_outcome,Open MDR assessment immediately and collect pump and set for joint investigation.,Product Quality Engineering,0.96,TRUE,Serious harm with life-sustaining therapy failure
C-1026,2026-06-16T12:11,Web Form,Patient,US-Midwest,Software/Connectivity,DEV-1008,OxySense Pulse Oximeter,Low,20,No,App battery indicator remains at 100 percent regardless of actual charge; reported as a minor annoyance.,Not stated,Not stated,Yes,No harm reported,Not stated,1 unit,event_date;app_version;device_serial,Log battery reporting defect for the next app release.,Software Support,0.88,FALSE,
C-1027,2026-06-17T10:05,Phone,Patient,US-South,Usability/Training,DEV-1003,PenMate Insulin Pen,Medium,56,No,Patient injected without priming for two weeks after receiving no instruction; glucose readings affected.,Not stated,Not stated,Yes,Readings off; no acute event reported,Not applicable,1 unit,event_date;pen_lot;dispensing_pharmacy;current_glucose_control,Arrange device training call and notify dispensing pharmacy of the counselling gap.,Customer Service,0.83,FALSE,
C-1028,2026-06-17T15:48,Email,Clinic Admin,US-West,Shipping/Logistics,UNKNOWN,Unidentified / Not stated,Low,26,No,Two of four boxes missing from delivery although carrier note records four signed for.,Not stated,Not stated,No,Not applicable,Not applicable,2 boxes,product_identity;order_number;carrier_tracking_reference,Open carrier claim and ship the shortfall on next-day service.,Supply Chain,0.87,TRUE,Product could not be identified
C-1029,2026-06-18T08:37,Phone,Clinician,EU-DACH,Adverse Event,RX-2001,Cardiozan 40mg Tablets,High,88,Yes,Two patients on one lot showed marked creatinine rise within two weeks; one admitted for rehydration.,Not stated,LOT-CZ-4415,Yes,One admission for rehydration; both discontinued,Not applicable,2 patients,event_date;baseline_renal_function;concomitant_medications;patient_outcomes,Open pharmacovigilance cases and initiate lot-level signal review.,Pharmacovigilance,0.92,TRUE,Possible lot-specific safety signal
C-1030,2026-06-18T16:09,Email,Clinician,APAC-ANZ,Adverse Event,DEV-1005,SureSeal Surgical Stapler,Critical,95,Yes,Post-operative infection linked to compromised sterile pouch; patient returned to theatre for washout and IV antibiotics.,Not stated,LOT-SS-77141,Yes,Return to theatre for washout; on IV antibiotics,Yes,1 unit,event_date;operative_and_microbiology_reports;pouch_photographs;patient_outcome,Open MDR assessment and joint sterility investigation with the retained packaging.,Pharmacovigilance,0.86,TRUE,Serious infection following sterility breach
C-1031,2026-06-19T07:21,Web Form,Patient,US-Northeast,Device Malfunction,DEV-1004,AeroRest CPAP Unit,High,87,Yes,Unit shut off twice overnight without alarm; patient woke gasping and has stopped using the device.,Not stated,SN-AR-452140,Yes,Woke gasping twice; therapy discontinued by patient,Not stated,1 unit,event_date;device_fault_log;prescribed_pressure;therapy_hours_data,Replace unit immediately and retrieve original for fault log analysis.,Product Quality Engineering,0.9,TRUE,Failure of therapy with respiratory compromise
C-1032,2026-06-19T13:14,Web Form,Patient,US-South,Product Inquiry/Feedback,UNKNOWN,Unidentified / Not stated,Low,12,No,Positive feedback that the redesigned carrying case handle is easier to use with arthritis.,Not stated,Not stated,Yes,Not applicable,Not applicable,Not applicable,product_identity,Acknowledge feedback and forward to product design for the improvement log.,Customer Service,0.85,TRUE,Product could not be identified
C-1033,2026-06-22T09:56,Distributor Portal,Distributor,EU-Nordics,Device Malfunction,DEV-1002,GlucoTrack G5 Blood Glucose Meter,High,78,No,Twelve meters fail start-up self-test with Err 4 and are unusable; remainder of lot held.,Not stated,LOT-GT-5524,No,Not applicable,No,12 units,event_date;meter_serials;total_lot_quantity;storage_conditions,Recall affected units and investigate self-test failure mode across the lot.,Product Quality Engineering,0.89,TRUE,Systematic failure affecting a full lot
C-1034,2026-06-22T14:38,Email,Clinic Admin,US-Midwest,Billing/Order,UNKNOWN,Unidentified / Not stated,Low,24,No,Order 56102 charged in full despite cancellation within the hour; second occurrence this quarter.,Not stated,Not stated,No,Not applicable,Not applicable,Not applicable,product_identity;cancellation_confirmation;charge_date,Refund the charge and investigate why cancellations are not reaching billing.,Customer Service,0.88,TRUE,Product could not be identified
C-1035,2026-06-23T11:03,Web Form,Clinic Admin,US-West,Software/Connectivity,DEV-1006,CardioCuff BP Monitor,Medium,54,No,Reporting portal times out on seven-day recording exports across multiple browsers and networks.,Not stated,Not stated,No,Not applicable,Not applicable,Not stated,event_date;account_identifier;example_recording_reference,Reproduce large export server-side and raise a performance defect.,Software Support,0.86,FALSE,
C-1036,2026-06-23T16:20,Distributor Portal,Distributor,EU-DACH,Packaging/Labeling,RX-2002,Dermaclear Topical Cream,Medium,56,No,Outer carton omits the storage temperature statement present in the leaflet; 150 units held for non-compliance.,Not stated,LOT-DC-1204,No,Not applicable,No,150 units,event_date;artwork_version;other_affected_lots,Confirm approved artwork and arrange overlabelling or replacement cartons.,Regulatory Affairs,0.87,FALSE,
C-1037,2026-06-24T07:44,Phone,Clinician,US-Northeast,Adverse Event,DEV-1003,PenMate Insulin Pen,Critical,99,Yes,Pen delivered a suspected full cartridge in one press; patient found unresponsive with glucose 1.9 and hospitalised.,Not stated,LOT-PM-9028,Yes,Found unresponsive; admitted by ambulance; now stable,Yes,1 unit,event_date;pen_dose_setting;insulin_type;discharge_summary,Open MDR assessment within 24 hours and secure the pen for dose delivery testing.,Pharmacovigilance,0.97,TRUE,Life-threatening event with device involvement
C-1038,2026-06-25T10:30,Email,Clinic Admin,US-South,Shipping/Logistics,UNKNOWN,Unidentified / Not stated,High,76,No,Shipment held six days at depot and arrived with cold chain indicator tripped; stock not accepted.,Not stated,Not stated,No,Not applicable,No,Not stated,product_identity;lot_numbers;temperature_logger_data;prior_deliveries_this_month,Quarantine the consignment and assess temperature excursion impact on earlier deliveries.,Supply Chain,0.85,TRUE,Cold chain excursion with product quality impact
C-1039,2026-06-25T14:55,Phone,Patient,US-West,Adverse Event,RX-2002,Dermaclear Topical Cream,High,84,Yes,Spreading rash on chest and neck away from application site two days after starting; dermatology referral made.,Not stated,LOT-DC-1188,Yes,Rash persisting three weeks; referred to dermatology,Not applicable,1 unit,event_date;concomitant_medications;photographs;dermatology_outcome,Open pharmacovigilance case and link to the other report on this lot.,Pharmacovigilance,0.9,TRUE,Suspected systemic adverse drug reaction
C-1040,2026-06-26T08:12,Phone,Clinician,US-West,Device Malfunction,DEV-1001,InfuLine 300 Infusion Pump,Critical,94,Yes,Air-in-line alarm failed to trigger with visible air column in the set; caught visually before reaching the patient.,Not stated,LOT-IL300-2327,Yes,No harm; air detected before delivery,Not stated,1 unit,event_date;pump_serial_number;set_lot;alarm_test_results,Quarantine unit and test air-in-line detection across the installed fleet.,Product Quality Engineering,0.93,TRUE,Safety alarm failure on life-sustaining therapy
