complaint_id,received_at,channel,reporter_type,region,category,product_id,product_name,severity,priority_score,mdr_reportable_flag,summary,event_date,lot_or_serial,patient_involved,patient_outcome,device_returned,units_affected,missing_info,suggested_next_action,route_team,confidence,needs_human_review,review_reason
C-1024,2026-06-15T14:26,Distributor Portal,Distributor,APAC-ANZ,Adverse Event,RX-2001,Cardiozan 40mg Tablets,Low,20,No,"The carton states 40mg but the blister foil is printed 20mg. Same lot, all cartons checked show the same misma...",Not stated,LOT-CZ-4420,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Pharmacovigilance,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1025,2026-06-16T06:48,Phone,Clinician,US-West,Product Inquiry/Feedback,DEV-1001,InfuLine 300 Infusion Pump,Low,20,No,Pump delivered what we believe was a free-flow bolus when the set was removed without the clamp engaged. Neona...,Not stated,LOT-IL300-2318,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Customer Service,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1026,2026-06-16T12:11,Web Form,Patient,US-Midwest,Software/Connectivity,DEV-1008,OxySense Pulse Oximeter,Low,20,No,Battery indicator in the app never moves off 100 percent even when the device is clearly nearly flat. Minor an...,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Software Support,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1027,2026-06-17T10:05,Phone,Patient,US-South,Device Malfunction,DEV-1003,PenMate Insulin Pen,Low,20,No,I was never shown how to prime this properly. I have been injecting without priming for about two weeks becaus...,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Product Quality Engineering,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1028,2026-06-17T15:48,Email,Clinic Admin,US-West,Shipping/Logistics,UNKNOWN,Unidentified / Not stated,Low,20,No,Two of the four boxes on this week's delivery are missing. The carrier note says four were signed for. We are ...,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Supply Chain,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1029,2026-06-18T08:37,Phone,Clinician,EU-DACH,Product Inquiry/Feedback,RX-2001,Cardiozan 40mg Tablets,Low,20,No,Two patients on the same lot have shown a marked rise in creatinine within a fortnight of starting. Both have ...,Not stated,LOT-CZ-4415,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Customer Service,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1030,2026-06-18T16:09,Email,Clinician,APAC-ANZ,Quality/Sterility,DEV-1005,SureSeal Surgical Stapler,High,78,No,Post-operative infection in a patient where this device was used. On review the pouch had a compromised seal t...,Not stated,LOT-SS-77141,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Product Quality Engineering,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1031,2026-06-19T07:21,Web Form,Patient,US-Northeast,Device Malfunction,DEV-1004,AeroRest CPAP Unit,High,78,No,Unit shut itself off twice in the night without any alarm. I woke up gasping both times. I have been too frigh...,Not stated,SN-AR-452140,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Product Quality Engineering,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1032,2026-06-19T13:14,Web Form,Patient,US-South,Product Inquiry/Feedback,UNKNOWN,Unidentified / Not stated,High,78,No,Nothing is wrong. I just wanted to say the new carrying case is a big improvement over the old one and the han...,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Customer Service,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1033,2026-06-22T09:56,Distributor Portal,Distributor,EU-Nordics,Device Malfunction,DEV-1002,GlucoTrack G5 Blood Glucose Meter,Low,20,No,Twelve meters from this lot fail their own start-up self-test and display Err 4. They are unusable out of the ...,Not stated,LOT-GT-5524,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Product Quality Engineering,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1034,2026-06-22T14:38,Email,Clinic Admin,US-Midwest,Billing/Order,UNKNOWN,Unidentified / Not stated,Low,20,No,We cancelled order 56102 within the hour and it has still been charged in full. Please refund. This is the sec...,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Customer Service,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1035,2026-06-23T11:03,Web Form,Clinic Admin,US-West,Product Inquiry/Feedback,DEV-1006,CardioCuff BP Monitor,Low,20,No,The reporting portal times out whenever we try to export a full seven day recording. Shorter exports work. We ...,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Customer Service,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1036,2026-06-23T16:20,Distributor Portal,Distributor,EU-DACH,Packaging/Labeling,RX-2002,Dermaclear Topical Cream,Low,20,No,The outer carton is missing the storage temperature statement entirely. The leaflet has it but the carton does...,Not stated,LOT-DC-1204,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Regulatory Affairs,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1037,2026-06-24T07:44,Phone,Clinician,US-Northeast,Adverse Event,DEV-1003,PenMate Insulin Pen,Critical,95,Yes,Pen delivered what the patient describes as a full cartridge in one press. He was found unresponsive by his wi...,Not stated,LOT-PM-9028,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Pharmacovigilance,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1038,2026-06-25T10:30,Email,Clinic Admin,US-South,Shipping/Logistics,UNKNOWN,Unidentified / Not stated,Low,20,No,Shipment sat at the depot for six days and arrived with the cold chain indicator tripped. We have not accepted...,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Supply Chain,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1039,2026-06-25T14:55,Phone,Patient,US-West,Adverse Event,RX-2002,Dermaclear Topical Cream,Low,20,No,"I developed a spreading rash on my chest and neck two days after starting the cream, nowhere near where I appl...",Not stated,LOT-DC-1188,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Pharmacovigilance,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1040,2026-06-26T08:12,Phone,Clinician,US-West,Device Malfunction,DEV-1001,InfuLine 300 Infusion Pump,Low,20,No,Air-in-line alarm failed to trigger with a visible column of air in the set. We caught it by eye. If nobody ha...,Not stated,LOT-IL300-2327,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Product Quality Engineering,0.5,TRUE,Rules engine: every record needs manual confirmation
